fecha,co,no2,pm10
2012-02-17,0.4795833333333333,15.25,41.791666666666664
2012-02-18,0.47083333333333344,12.458333333333334,27.583333333333332
2012-02-19,0.49750000000000005,14.0,24.083333333333332
2012-02-20,0.4954166666666668,12.75,22.0
2012-02-21,0.37374999999999997,7.125,17.583333333333332
2012-02-22,0.33791666666666664,12.708333333333334,25.666666666666668
2012-02-23,0.34944444444444445,10.863636363636363,35.0
2012-02-24,0.41250000000000014,13.045454545454545,36.958333333333336
2012-02-25,0.29416666666666663,7.25,27.583333333333332
2012-02-26,0.25500000000000006,6.583333333333333,22.958333333333332
2012-02-27,0.3483333333333334,11.125,26.166666666666668
2012-02-28,0.5319999999999999,13.928571428571429,22.833333333333332
2012-02-29,0.5425,16.666666666666668,22.0
2012-03-01,0.39291666666666675,12.625,17.541666666666668
2012-03-02,0.49208333333333343,17.125,26.625
2012-03-03,0.39375,10.583333333333334,22.5
2012-03-04,0.41583333333333333,10.291666666666666,19.208333333333332
2012-03-05,0.4529166666666668,12.833333333333334,22.958333333333332
2012-03-06,0.5599999999999999,16.333333333333332,27.083333333333332
2012-03-07,0.5120833333333333,22.238095238095237,27.958333333333332
2012-03-08,0.4908333333333333,10.956521739130435,33.166666666666664
2012-03-09,0.3604166666666668,7.0,24.083333333333332
2012-03-10,0.5095833333333334,22.416666666666668,32.75
2012-03-11,0.5941666666666668,13.75,44.166666666666664
2012-03-12,0.5441666666666666,18.666666666666668,28.666666666666668
2012-03-13,0.7163636363636363,20.0,29.666666666666668
2012-03-14,0.4504166666666667,8.608695652173912,29.2
2012-03-15,0.3645833333333333,12.208333333333334,29.416666666666668
2012-03-16,0.38916666666666666,11.458333333333334,32.708333333333336
2012-03-17,0.3266666666666666,9.0,24.0
2012-03-18,0.40791666666666665,12.5,20.583333333333332
2012-03-19,0.44166666666666665,13.416666666666666,29.541666666666668
2012-03-20,0.5229166666666666,17.791666666666668,33.916666666666664
2012-03-21,0.5125000000000001,15.047619047619047,41.375
2012-03-22,0.4308333333333334,11.208333333333334,36.333333333333336
2012-03-23,0.3975,12.25,40.375
2012-03-24,0.5854166666666668,12.166666666666666,51.541666666666664
2012-03-25,0.6033333333333334,12.5,31.3
2012-03-26,0.295,11.692307692307692,
2012-03-27,0.24541666666666662,8.478260869565217,33.8421052631579
2012-03-28,0.33,14.125,47.541666666666664
2012-03-29,0.47666666666666674,24.47826086956522,56.791666666666664
2012-03-30,0.4416666666666669,14.291666666666666,57.458333333333336
2012-03-31,0.38416666666666677,12.666666666666666,33.125
2012-04-01,0.37166666666666665,11.375,28.375
2012-04-02,0.5833333333333335,15.833333333333334,37.375
2012-04-03,0.477,18.933333333333334,42.625
2012-04-04,0.4645454545454546,12.3,37.54545454545455
2012-04-05,,,41.5
2012-04-06,,,
2012-04-07,,,
2012-04-08,,,
2012-04-09,0.542,11.181818181818182,
2012-04-10,0.42333333333333334,7.125,28.571428571428573
2012-04-11,0.5962500000000001,12.217391304347826,38.125
2012-04-12,0.7305882352941175,17.59090909090909,55.416666666666664
2012-04-13,0.6241666666666666,17.90909090909091,29.75
2012-04-14,0.8808333333333332,23.545454545454547,40.75
2012-04-15,,,46.75
2012-04-16,0.895,25.555555555555557,
2012-04-17,0.7333333333333334,22.363636363636363,24.454545454545453
2012-04-18,0.8474999999999998,28.166666666666668,46.666666666666664
2012-04-19,0.555,21.916666666666668,44.833333333333336
2012-04-20,0.9408333333333334,23.583333333333332,98.0
2012-04-21,0.4512500000000001,9.875,71.04166666666667
2012-04-22,0.3991666666666665,14.833333333333334,46.333333333333336
2012-04-23,0.3861111111111111,18.19047619047619,45.875
2012-04-24,0.5516666666666667,26.25,52.166666666666664
2012-04-25,0.6028571428571429,24.0,50.041666666666664
2012-04-26,0.38250000000000006,16.333333333333332,35.833333333333336
2012-04-27,0.31583333333333335,17.82608695652174,37.0
2012-04-28,,21.25,34.666666666666664
2012-04-29,,15.041666666666666,23.583333333333332
2012-04-30,,18.291666666666668,24.291666666666668
2012-05-01,,13.333333333333334,20.416666666666668
2012-05-02,0.50875,18.130434782608695,18.583333333333332
2012-05-03,0.5374999999999999,21.952380952380953,24.583333333333332
2012-05-04,0.8337499999999999,25.666666666666668,35.541666666666664
2012-05-05,1.4675000000000002,25.666666666666668,53.041666666666664
